Dataset,SampleSize,Target1Ratio_Set,Target0Count,Target1Count,Target1Ratio_Actual,QualityScore,DiagnosticScore
50,5000,0.03,4850,150,0.03,0.7688210743681709,1.0
51,5000,0.03,4850,150,0.03,0.7714628148375293,1.0
52,5000,0.03,4850,150,0.03,0.7738112203201516,1.0
53,5000,0.03,4850,150,0.03,0.7719437127322322,1.0
54,5000,0.03,4850,150,0.03,0.772722802847198,1.0
55,5000,0.03,4850,150,0.03,0.7758017657830656,1.0
56,5000,0.03,4850,150,0.03,0.7737306541442319,1.0
57,5000,0.03,4850,150,0.03,0.7714230985348678,1.0
58,5000,0.03,4850,150,0.03,0.7703450597957536,1.0
59,5000,0.03,4850,150,0.03,0.772982685953649,1.0
60,5000,0.03,4850,150,0.03,0.7697935306257058,1.0
61,5000,0.03,4850,150,0.03,0.7695435128440453,1.0
62,5000,0.03,4850,150,0.03,0.7700158256611208,1.0
63,5000,0.03,4850,150,0.03,0.7743039336767157,1.0
64,5000,0.03,4850,150,0.03,0.7710676591161085,1.0
65,5000,0.03,4850,150,0.03,0.7744638110464053,1.0
66,5000,0.03,4850,150,0.03,0.771506932046113,1.0
67,5000,0.03,4850,150,0.03,0.7724945015735769,1.0
68,5000,0.03,4850,150,0.03,0.7718819698284172,1.0
69,5000,0.03,4850,150,0.03,0.7685263638870499,1.0
70,5000,0.03,4850,150,0.03,0.771704532226223,1.0
71,5000,0.03,4850,150,0.03,0.771518928804061,1.0
72,5000,0.03,4850,150,0.03,0.7745039053861633,1.0
73,5000,0.03,4850,150,0.03,0.7692451562119769,1.0
74,5000,0.03,4850,150,0.03,0.7748201219884888,1.0
75,5000,0.03,4850,150,0.03,0.7695227175187316,1.0
76,5000,0.03,4850,150,0.03,0.7732550486766703,1.0
77,5000,0.03,4850,150,0.03,0.7740501255502715,1.0
78,5000,0.03,4850,150,0.03,0.7745776548231926,1.0
79,5000,0.03,4850,150,0.03,0.7723083002169489,1.0
80,5000,0.03,4850,150,0.03,0.7721126034471512,1.0
81,5000,0.03,4850,150,0.03,0.7727381308422312,1.0
82,5000,0.03,4850,150,0.03,0.7707603284156892,1.0
83,5000,0.03,4850,150,0.03,0.7715797341181958,1.0
84,5000,0.03,4850,150,0.03,0.7720022968388629,1.0
85,5000,0.03,4850,150,0.03,0.7736731947799382,1.0
86,5000,0.03,4850,150,0.03,0.7719262921762307,1.0
87,5000,0.03,4850,150,0.03,0.7704677335842502,1.0
88,5000,0.03,4850,150,0.03,0.7700147141991682,1.0
89,5000,0.03,4850,150,0.03,0.7726102523560532,1.0
90,5000,0.03,4850,150,0.03,0.7719310608948192,1.0
91,5000,0.03,4850,150,0.03,0.7711957235364804,1.0
92,5000,0.03,4850,150,0.03,0.771370908354852,1.0
93,5000,0.03,4850,150,0.03,0.7697758091213178,1.0
94,5000,0.03,4850,150,0.03,0.7708155601383215,1.0
95,5000,0.03,4850,150,0.03,0.772314579196046,1.0
96,5000,0.03,4850,150,0.03,0.7699241130918475,1.0
97,5000,0.03,4850,150,0.03,0.7709844309677023,1.0
98,5000,0.03,4850,150,0.03,0.7709405255306874,1.0
99,5000,0.03,4850,150,0.03,0.773835942593798,1.0
100,5000,0.03,4850,150,0.03,0.7726726277283946,1.0
